lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23975525,44A/5/58," $814,506,000.00 "," $12,900,000.00 "," $40,725,300.00 ",0,On sale,19.06.2026 09:00,12,12,63.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,39.1,11.63,12.41,,https://e-auksion.uz/lot-view?lot_id=23975525
23975534,46A/1/33," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,19.06.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,,https://e-auksion.uz/lot-view?lot_id=23975534
23975541,46A/1/43," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,19.06.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,,https://e-auksion.uz/lot-view?lot_id=23975541
23975550,46A/2/35," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975550
23975559,46A/3/45," $751,555,000.00 "," $10,900,000.00 "," $37,577,750.00 ",0,On sale,19.06.2026 09:00,9,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,,https://e-auksion.uz/lot-view?lot_id=23975559
23975563,46A/3/46," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,19.06.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,,https://e-auksion.uz/lot-view?lot_id=23975563
23975571,46A/9/37," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,19.06.2026 09:00,9,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,,https://e-auksion.uz/lot-view?lot_id=23975571
23975576,46A/9/26," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,7,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975576
23975586,44A/7/29," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,7,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975586
23975590,44A/7/24," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,6,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975590
