lot_number,name,lot_number_extracted,building_number, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24540935,45D/9/4,45D,9," 882,573,000.00 "," 10,900,000.00 "," 44,128,650.00 ",0,On sale,24.07.2026 09:00,2,12,80.97,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,0,https://e-auksion.uz/lot-view?lot_id=24540935
24540943,45D/3/8,45D,3," 904,918,000.00 "," 10,900,000.00 "," 45,245,900.00 ",0,On sale,24.07.2026 09:00,2,12,83.02,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,0,https://e-auksion.uz/lot-view?lot_id=24540943
24540949,43F/5/22,43F,5," 1,006,974,000.00 "," 12,900,000.00 "," 50,348,700.00 ",0,On sale,24.07.2026 09:00,5,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24540949
24540962,43F/5/43,43F,5," 1,068,636,000.00 "," 12,900,000.00 "," 53,431,800.00 ",0,On sale,24.07.2026 09:00,9,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24540962
24540978,46A/8/39,46A,8," 772,156,000.00 "," 10,900,000.00 "," 38,607,800.00 ",0,On sale,24.07.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,1,https://e-auksion.uz/lot-view?lot_id=24540978
24540986,46A/7/41,46A,7," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,24.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24540986
24540994,46A/8/45,46A,8," 772,156,000.00 "," 10,900,000.00 "," 38,607,800.00 ",0,On sale,24.07.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,3,https://e-auksion.uz/lot-view?lot_id=24540994
24540998,46A/8/38,46A,8," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,24.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24540998
24540863,44B/2/50,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,24.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,1,https://e-auksion.uz/lot-view?lot_id=24540863
24540872,44B/6/49,44B,6," 953,750,000.00 "," 10,900,000.00 "," 47,687,500.00 ",0,On sale,24.07.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,2,https://e-auksion.uz/lot-view?lot_id=24540872
