lot_number,Lot,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24093707,43F,43F/5/22," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,5,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,3,https://e-auksion.uz/lot-view?lot_id=24093707
24093711,43F,43F/5/52," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,11,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24093711
24093718,43F,43F/5/38," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,8,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,4,https://e-auksion.uz/lot-view?lot_id=24093718
24093728,43F,43F/8/21," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,4,https://e-auksion.uz/lot-view?lot_id=24093728
24093737,43F,43F/8/13," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,5,https://e-auksion.uz/lot-view?lot_id=24093737
24093745,43F,43F/8/27," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24093745
24093720,43F,43F/8/25," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,2,https://e-auksion.uz/lot-view?lot_id=24093720
24093734,43F,43F/8/19," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24093734
24093740,43F,43F/8/38," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24093740
24093746,43F,43F/8/32," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24093746
24093605,46A,46A/6/46," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,11,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=24093605
24093609,44A,44A/5/46," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,30.06.2026 09:00,10,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,8,https://e-auksion.uz/lot-view?lot_id=24093609
24093617,44B,44B/2/52," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,30.06.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,3,https://e-auksion.uz/lot-view?lot_id=24093617
24093621,44B,44B/2/50," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093621
24093632,44B,44B/2/46," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,30.06.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093632
24093637,44B,44B/2/40," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,30.06.2026 09:00,7,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,3,https://e-auksion.uz/lot-view?lot_id=24093637
24093647,44B,44B/2/35," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,6,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093647
24093648,44A,44A/4/15," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,3,https://e-auksion.uz/lot-view?lot_id=24093648
24093663,46A,46A/1/48," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,2,https://e-auksion.uz/lot-view?lot_id=24093663
24093672,46A,46A/3/46," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,30.06.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,3,https://e-auksion.uz/lot-view?lot_id=24093672
24093681,46A,46A/3/44," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24093681
24093687,43F,43F/5/39," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,9,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24093687
24093692,43F,43F/5/24," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,6,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,6,https://e-auksion.uz/lot-view?lot_id=24093692
24093700,43F,43F/5/31," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,7,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,0,https://e-auksion.uz/lot-view?lot_id=24093700
24093708,43F,43F/5/27," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,6,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24093708
24093716,43F,43F/5/28," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,6,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24093716
24093730,43F,43F/8/36," $841,338,000.00 "," $12,900,000.00 "," $42,066,900.00 ",0,On sale,30.06.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,1,https://e-auksion.uz/lot-view?lot_id=24093730
24093743,43F,43F/8/34," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,6,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24093743
