lot_number,name,price,price_per_sqm,deposit,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24023555,46A/4/25,902956000,10900000,45147800,0,On sale,24.06.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24023555
24023564,46A/9/51,902956000,10900000,45147800,0,On sale,24.06.2026 09:00,12,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023564
24023571,43F/5/51,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,0,https://e-auksion.uz/lot-view?lot_id=24023571
24023578,43F/5/22,1006974000,12900000,50348700,0,On sale,24.06.2026 09:00,5,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023578
24023592,43F/5/23,1068636000,12900000,53431800,0,On sale,24.06.2026 09:00,5,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24023592
24023601,43F/5/34,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,8,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023601
24023611,43F/8/18,841338000,12900000,42066900,0,On sale,24.06.2026 09:00,4,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,0,https://e-auksion.uz/lot-view?lot_id=24023611
24023618,43F/8/13,1097532000,12900000,54876600,0,On sale,24.06.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24023618
24023630,43F/8/26,1021035000,12900000,51051750,0,On sale,24.06.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24023630
24023521,44A/4/22,894166000,11900000,44708300,0,On sale,24.06.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,0,https://e-auksion.uz/lot-view?lot_id=24023521
24023542,46A/2/43,973261000,10900000,48663050,0,On sale,24.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,2,https://e-auksion.uz/lot-view?lot_id=24023542
24023549,46A/2/26,868730000,10900000,43436500,0,On sale,24.06.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24023549
24023563,46A/9/52,850854000,10900000,42542700,0,On sale,24.06.2026 09:00,12,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023563
24023569,44A/7/39,888459000,10900000,44422950,0,On sale,24.06.2026 09:00,9,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,0,https://e-auksion.uz/lot-view?lot_id=24023569
24023579,43F/5/17,1006974000,12900000,50348700,0,On sale,24.06.2026 09:00,4,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023579
24023588,43F/5/19,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,5,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023588
24023597,43F/5/31,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,7,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,0,https://e-auksion.uz/lot-view?lot_id=24023597
24023604,43F/5/33,1068636000,12900000,53431800,0,On sale,24.06.2026 09:00,7,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023604
24023619,43F/8/41,841338000,12900000,42066900,0,On sale,24.06.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,0,https://e-auksion.uz/lot-view?lot_id=24023619
24023631,43F/8/21,1021035000,12900000,51051750,0,On sale,24.06.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24023631
24023471,44B/6/53,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023471
24023480,44B/2/48,953750000,10900000,47687500,0,On sale,24.06.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,0,https://e-auksion.uz/lot-view?lot_id=24023480
24023491,44B/2/52,745560000,10900000,37278000,0,On sale,24.06.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023491
24023498,44B/2/42,953750000,10900000,47687500,0,On sale,24.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,0,https://e-auksion.uz/lot-view?lot_id=24023498
24023513,44A/5/46,693532000,11900000,34676600,0,On sale,24.06.2026 09:00,10,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,1,https://e-auksion.uz/lot-view?lot_id=24023513
24023514,44A/5/58,814506000,12900000,40725300,0,On sale,24.06.2026 09:00,12,12,63.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,39.1,11.63,12.41,0,https://e-auksion.uz/lot-view?lot_id=24023514
24023524,46A/2/40,772156000,10900000,38607800,0,On sale,24.06.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,0,https://e-auksion.uz/lot-view?lot_id=24023524
24023533,46A/2/48,973261000,10900000,48663050,0,On sale,24.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,2,https://e-auksion.uz/lot-view?lot_id=24023533
24023540,46A/3/43,973261000,10900000,48663050,0,On sale,24.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,3,https://e-auksion.uz/lot-view?lot_id=24023540
24023546,46A/1/48,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,0,https://e-auksion.uz/lot-view?lot_id=24023546
24023551,46A/1/38,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,0,https://e-auksion.uz/lot-view?lot_id=24023551
24023557,46A/9/46,902956000,10900000,45147800,0,On sale,24.06.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023557
