lot_number,name,Lot,Building, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24195086,43F/8/27,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24195086
24195089,43F/8/22,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195089
24194985,44A/4/39,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,3,https://e-auksion.uz/lot-view?lot_id=24194985
24194995,44B/6/46,44B,6," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,06.07.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,4,https://e-auksion.uz/lot-view?lot_id=24194995
24195004,44B/6/41,44B,6," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,3,https://e-auksion.uz/lot-view?lot_id=24195004
24195009,44B/2/50,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,6,https://e-auksion.uz/lot-view?lot_id=24195009
24195019,44B/6/49,44B,6," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,06.07.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,3,https://e-auksion.uz/lot-view?lot_id=24195019
24195022,46A/2/38,46A,2," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,06.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,4,https://e-auksion.uz/lot-view?lot_id=24195022
24195029,46A/3/44,46A,3," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,06.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,5,https://e-auksion.uz/lot-view?lot_id=24195029
24194973,46A/6/46,46A,6," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,11,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=24194973
24194986,44A/5/58,44A,5," $814,506,000.00 "," $12,900,000.00 "," $40,725,300.00 ",0,On sale,06.07.2026 09:00,12,12,63.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,39.1,11.63,12.41,1,https://e-auksion.uz/lot-view?lot_id=24194986
24194994,44B/6/54,44B,6," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,06.07.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,3,https://e-auksion.uz/lot-view?lot_id=24194994
24195003,44B/6/53,44B,6," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24195003
24195014,44B/6/44,44B,6," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24195014
24195016,44B/2/52,44B,2," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,06.07.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,7,https://e-auksion.uz/lot-view?lot_id=24195016
24195020,46A/1/48,46A,1," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,5,https://e-auksion.uz/lot-view?lot_id=24195020
24195028,46A/3/38,46A,3," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,06.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,5,https://e-auksion.uz/lot-view?lot_id=24195028
24195041,43F/5/27,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,6,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24195041
24195058,43F/5/23,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,5,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24195058
24195065,43F/5/28,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,6,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24195065
